role	i	j	affiliation
p	ALEXANDRE OLIVIER	2019_ST18	LIP6 & CEMS IMM CNRS
p	ALEXANDRE OLIVIER	2019_ST59	CNRS/LIP6 CEMS/IMM
p	ALEXANDRE-COLLIER AGNES	2015_ST21	U. BOURGOGNE FRANCHE COMTE
NA	ALEXANDRE-COLLIER AGNES	2019_ST87	NA
p	ALFANDARI FRANCOIS	2015_ST14	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	ALFANDARI FRANCOIS	2019_ST33	TRIANGLE/LEST, CNRS
p	ALFIERI VALERIA	2013_ST53	CEMAF, U. PARIS 1 / U. NAPOLI ORIENTALE (ITALIE)
p	ALIMI DEBORAH	2019_ST43	CESSP, UNIVERSITE PARIS I PANTHEON SORBONNE
p	ALIMI DEBORAH	2019_ST84	CESSP UNIVERSITE PARIS I PANTHEON SORBONNE
p	ALLAIN MATHILDE	2015_ST50	SPIRIT-CED, IEP-U. BORDEAUX / CRAPE-ARENES, EHESP-IEP-U. RENNES 1 & 2
o	ALLAIN MATHILDE	2019_ST02	CENTRE DETUDES DU CONFLIT ET DE LA COHESION SOCIALE, COES CHILI
p	ALLAL AMIN	2011_ST13	CHERPA, IEP AIX EN PROVENCE / IREMAM, U. AIX MARSEILLE 2
o	ALLAL AMIN	2013_ST53	CHERPA, IEP AIX EN PROVENCE
o	ALLAL AMIN	2015_ST49	CERAPS, U. LILLE 2
o	ALLAL AMIN	2017_ST30	CERAPS, U. LILLE 2
NA	ALLAM MARIE-CHARLOTTE	2019_ST63	NA
NA	ALLAM MARIE-CHARLOTTE	2019_STGASAVOIRSDISCIPLINESPOUVOIRS	NA
p	ALLE CAMILLE	2015_ST32	LIEPP, SCIENCES PO PARIS
p	ALLES DELPHINE	2009_ST2	SCIENCES PO PARIS
o	ALLES DELPHINE	2013_ST48	ROUEN BUSINESS SCHOOL
o	ALLES DELPHINE	2015_ST61	U. PARIS 12
o	ALLES DELPHINE	2019_STGAMONDIALISATIONCIRCULATIONSTRANSNATIONALISATION	INALCO, CASE
p	ALLOUCH ANNABELLE	2011_ST24	OSC, SCIENCES PO PARIS
p	ALLOUCH ANNABELLE	2015_ST10	CURAPP-ESS, U. PICARDIE
p	ALLOUCH ANNABELLE	2017_ST59	CURAPP-ESS, U. PICARDIE
o	ALLOUCHE JEREMY	2009_ST30	CENTER INTERNATIONAL STUDIES, U. OXFORD (ROYAUME-UNI)
d	ALLOUCHE-BENAYOUN JOELLE	2017_ST32	NA
o	ALMEIDA MEDEIROS MARCELO	2019_ST03	MARCELO DE ALMEIDA MEDEIROS UNIVERSITE FEDERALE DE PERNAMBUCO, BRESIL
p	ALPHANDERY PIERRE	2015_ST18	SAE2, INRA / SAD APT, INRA IVRY SUR SEINE
p	ALTAMIRANO XAVIER	2013_ST38	CESSP-CRPS, U. PARIS 1
p	ALTUN EVSEN	2017_ST29	U. DOKUZ EYLUL IZMIR (TURQUIE)
NA	ALVISO-MARINO ANAHI	2019_ST48	NA
p	AMADO-BORTHAYRE LONTZI	2013_ST14	SPIRIT-CED, IEP-U. BORDEAUX
p	AMADO-BORTHAYRE LONTZI	2013_ST9	SPIRIT-CED, IEP-U. BORDEAUX
p	AMBROSETTI DAVID	2009_ST32	ISSP, ENS CACHAN & U. PARIS 10
o	AMBROSETTI DAVID	2011_ST4	ISSP, ENS CACHAN & U. PARIS 10
o	AMBROSETTI DAVID	2013_ST54	ISSP, ENS CACHAN & U. PARIS 10
p	AMICELLE ANTHONY	2009_ST2	SCIENCES PO PARIS
p	AMICELLE ANTHONY	2013_ST52	PEACE RESEARCH INSTITUTE OSLO (NORVEGE)
p	AMICELLE ANTHONY	2019_ST39	CENTRE INTERNATIONAL CRIMINOLOGIE COMPAREE, U. MONTREAL (CANADA)
p	AMICELLE ANTHONY	2019_STEPOPE	CENTRE INTERNATIONAL CRIMINOLOGIE COMPAREE, U. MONTREAL (CANADA)
p	AMIEL BASTIEN	2013_ST2	GAP, U. PARIS 10
p	AMIEL BASTIEN	2015_ST10	ISSP, ENS CACHAN & U. PARIS 10
