role	i	j	affiliation
p	DEBONS JEROME	2017_ST14	U. FRIBOURG (SUISSE)
p	DEBOS MARIELLE	2011_ST9	ISSP, ENS CACHAN & U. PARIS 10
p	DEBOS MARIELLE	2015_ST47	ISSP, ENS CACHAN & U. PARIS 10
p	DEBOS MARIELLE	2015_ST51	ISSP, ENS CACHAN & U. PARIS 10
o	DEBOS MARIELLE	2019_ST38	UNIVERSITE PARIS NANTERRE, INSTITUT DES SCIENCES SOCIALES DU POLITIQUE ISP
o	DECHEZELLES STEPHANIE	2009_ST37	SPIRIT-CED, IEP-U. BORDEAUX
p	DECHEZELLES STEPHANIE	2011_ST13	CHERPA, IEP AIX EN PROVENCE
p	DECHEZELLES STEPHANIE	2013_ST37	CHERPA, IEP AIX EN PROVENCE
p	DECHEZELLES STEPHANIE	2013_ST42	CHERPA, IEP AIX EN PROVENCE
d	DECHEZELLES STEPHANIE	2015_ST35	CHERPA, IEP AIX EN PROVENCE
p	DECHEZELLES STEPHANIE	2019_ST17	CHERPA, IEP AIX EN PROVENCE / LAMES, U. AIX MARSEILLE 2
d	DECHEZELLES STEPHANIE	2019_ST37	CHERPA, IEP AIX EN PROVENCE
d	DECHEZELLES STEPHANIE	2019_ST77	CHERPA, IEP AIX EN PROVENCE
p	DEDIEU CLAIRE	2017_ST35	G EAU, CIRAD MONTPELLIER
p	DEFFONTAINES GERY	2015_ST31	CSI, MINES PARISTECH
p	DEFORGE QUENTIN	2017_ST73	IRISSO, U. PARIS 9
o	DEFORGE QUENTIN	2019_ST39	IRISSO, U. PARIS 9 / IRMC TUNIS (TUNISIE)
p	DEFORGE QUENTIN	2019_STGAMONDIALISATIONCIRCULATIONSTRANSNATIONALISATION	IRISSO, U. PARIS 9 / IRMC TUNIS (TUNISIE)
p	DEGEORGES ADRIEN	2013_ST1	CEE, SCIENCES PO PARIS
p	DEGEORGES ADRIEN	2013_ST26	CEE, SCIENCES PO PARIS
p	DEGEORGES ADRIEN	2015_ST2	CEE, SCIENCES PO PARIS / IEP BORDEAUX
p	DEGREMONT NADEGE	2009_ST47	CEAF, EHESS PARIS
p	DEHOUSSE RENAUD	2013_ST23	CEE, SCIENCES PO PARIS
d	DEHOUSSE RENAUD	2015_ST29	CEE, SCIENCES PO PARIS
p	DEHOUSSE RENAUD	2015_STPOPACT	CEE, SCIENCES PO PARIS
p	DEL VECCHIO NATHALIE	2013_ST10	U. TOULOUSE 3
p	DELACOURT DIANE	2009_ST5	CURAPP-ESS, U. PICARDIE
p	DELACOURT DIANE	2015_ST10	CURAPP-ESS, U. PICARDIE
p	DELACROIX DOROTHEE	2015_ST52	LISST-CAS, U. TOULOUSE 2
p	DELACROIX DOROTHEE	2019_ST50	ISP LOUVAIN EUROPE (BELGIQUE) / U. CATHOLIQUE LOUVAIN (BELGIQUE)
p	DELAGE PAULINE	2013_ST1	IRIS, EHESS PARIS & INSERM & U. PARIS 13
p	DELAGE PAULINE	2013_ST11	IRIS, EHESS PARIS & INSERM & U. PARIS 13
p	DELAGE PAULINE	2017_ST45	ISS-CEG, U. LAUSANNE (SUISSE)
p	DELAGE PAULINE	2019_ST25	CRESPPA CSU
o	DELAINE ESTELLE	2019_ST37	CESSP/EHESS
o	DELANNOI GIL	2013_ST22	CEVIPOF, SCIENCES PO PARIS
p	DELCOUR LAURE	2015_ST44	MSH PARIS NORD
o	DELCOURT BARBARA	2011_ST3	U. LIBRE BRUXELLES (BELGIQUE)
p	DELEIXHE MARTIN	2013_ST63	CENTRE THEORIE POLITIQUE, U. LIBRE BRUXELLES (BELGIQUE)
d	DELERUE FRANCOIS	2019_ST59	IRSEM
p	DELLA SUDDA MAGALI	2009_ST6	ECOLE FRANCAISE ROME (ITALIE)
p	DELLA SUDDA MAGALI	2013_ST25	SPIRIT-CED, IEP-U. BORDEAUX
o	DELLA SUDDA MAGALI	2015_ST16	SPIRIT-CED, IEP-U. BORDEAUX
p	DELLA SUDDA MAGALI	2017_ST27	SPIRIT-CED, IEP-U. BORDEAUX
p	DELLA SUDDA MAGALI	2017_ST53	SPIRIT-CED, IEP-U. BORDEAUX
p	DELLA SUDDA MAGALI	2017_ST59	SPIRIT-CED, IEP-U. BORDEAUX
o	DELMAS CORINNE	2011_ST51	CERAPS, U. LILLE 2
p	DELMAS CORINNE	2013_ST37	CERAPS, U. LILLE 2
p	DELMAS CORINNE	2013_ST57	CERAPS, U. LILLE 2
p	DELMOTTE FLORENCE	2009_ST122	U. SAINT LOUIS BRUXELLES (BELGIQUE) / U. LIBRE BRUXELLES (BELGIQUE)
p	DELMOTTE FLORENCE	2015_ST8	U. SAINT LOUIS BRUXELLES (BELGIQUE) / U. LIBRE BRUXELLES (BELGIQUE)
p	DELORI MATHIAS	2009_ST28	EUROPEAN U. INSTITUTE FLORENCE (ITALIE)
d	DELORI MATHIAS	2013_ST43	SPIRIT-CED, IEP-U. BORDEAUX
p	DELORI MATHIAS	2013_ST51	SPIRIT-CED, IEP-U. BORDEAUX
p	DELORI MATHIAS	2013_ST55	SPIRIT-CED, IEP-U. BORDEAUX
p	DELORI MATHIAS	2019_ST38	SPIRIT-CED, IEP-U. BORDEAUX
p	DELORME MORGANE	2019_STGAREGULATIONSMARCHESCAPITALISMES	DCS UNIVERSITE DE NANTES
p	DELOUETTE ILONA	2015_ST38	CLERSE, U. LILLE 1
c	DELOYE YVES	2009_ST1	U. PARIS 1
p	DELOYE YVES	2009_ST48	U. PARIS 1
p	DELOYE YVES	2011_ST1	SPIRIT-CED, IEP-U. BORDEAUX
p	DELOYE YVES	2013_ST41	[AFSP]
d	DELOYE YVES	2015_ST29	U. BORDEAUX / IEP BORDEAUX
c	DELOYE YVES	2017_ST72	IEP BORDEAUX
p	DELPECH QUENTIN	2013_ST45	CESSP-CRPS, U. PARIS 1
p	DELPEUCH THIERRY	2009_ST20	ISSP, ENS CACHAN & U. PARIS 10
p	DELPEUCH THIERRY	2011_ST14	ISSP, ENS CACHAN & U. PARIS 10
p	DELPEUCH THIERRY	2011_ST46	ISSP, ENS CACHAN & U. PARIS 10
d	DELPEUCH THIERRY	2015_ST54	PACTE, IEP GRENOBLE / CMB, HUMBOLDT U. BERLIN (ALLEMAGNE)
p	DELPEUCH THIERRY	2019_STGANORMESETJUSTICE	, MARGARITA VASSILEVA ET FRANCOIS BONNET PACTE, CNRS
a	DELPIERRE ALIZEE	2015_ST7	NA
p	DELPIERRE ALIZEE	2019_ST18	CSO SCIENCES PO
c	DELPLA ISABELLE	2013_ST43	U. MONTPELLIER 3 / TRIANGLE, ENS-IEP LYON & U. LYON 2
p	DELPORTE ANTOINE	2017_ST54	CISMOC, U. CATHOLIQUE LOUVAIN (BELGIQUE)
p	DELWIT PASCAL	2009_ST34	U. LIBRE BRUXELLES (BELGIQUE)
o	DEMAZIERE DIDIER	2011_ST40	CSO, SCIENCES PO PARIS
o	DEMAZIERE DIDIER	2017_ST34	CSO, SCIENCES PO PARIS
d	DEMAZIERE DIDIER	2019_ST18	CSO CNRS
p	DEMAZIERE DIDIER	2019_ST33	CSO, SCIENCES PO
p	DEMENGE VICTOR	2019_STGAREGULATIONSMARCHESCAPITALISMES	SAGE
p	DEMERTZIS VAIA	2015_ST36	CRISP (BELGIQUE)
p	DEMERTZIS VAIA	2015_ST39	CRISP (BELGIQUE)
p	DEMESTRESCU MATEI	2013_ST55	SCIENCES POLITIQUES, U. BUCAREST (ROUMANIE)
p	DEMIAUX VICTOR	2011_ST50	EHESS PARIS
p	DEMONTEIL MARION	2017_ST35	IRISSO, U. PARIS 9
p	DEMONTEIL MARION	2019_ST06	UNIVERSITE PARIS DAUPHINE ET IRISSO
p	DEMONTEIL MARION	2019_ST08	UNIVERSITE PARIS DAUPHINE, PSL RESEARCH UNIVERSITY, CNRS, UMR 7170, IRISSO PARIS
p	DEMORTAIN DAVID	2019_ST60	INRA, UMR LABORATOIRE INTERDISCIPLINAIRE SCIENCES INNOVATIONS SOCIETES
p	DENIS ADELINE	2015_ST20	CMH-ETT, EHESS PARIS & ENS PARIS
p	DENIS ADELINE	2015_ST22	CMH-ETT, EHESS PARIS & ENS PARIS
p	DENIS ADELINE	2017_ST40	CMH-ETT, EHESS PARIS & ENS PARIS
p	DENOEL MATHILDE	2019_ST23	ET MARTINE GUIBERT LISST UMR CNRS 5193 & UNIVERSITE DE TOULOUSE 2 JEAN JAURES
d	DENORD FRANCOIS	2009_ST33	CESSP-CSE, U. PARIS 1
p	DENORD FRANCOIS	2017_ST35	CESSP-CRPS, U. PARIS 1
p	DEPIGNY BERTRAND	2009_ST28	U. LYON
p	DEPIGNY BERTRAND	2011_ST12	U. LYON
p	DEPIGNY MARINE	2009_ST31	U. LYON 2
o	DEPLAUDE MARC-OLIVIER	2013_ST17	RITME, INRA INVRY
p	DEPOORTER GAEL	2015_ST12	CURAPP-ESS, U. PICARDIE
p	DEPOORTER GAEL	2019_ST34	UNIVERSITE DE PICARDIE JULES VERNE CURAPP ESS
p	DERONT EVA	2017_ST17	PACTE, IEP GRENOBLE / IEI
p	DERONT EVA	2017_ST19	PACTE, IEP GRENOBLE / IEI
p	DEROUET ANTOINE	2011_ST42	CMH, EHESS PARIS & ENS PARIS
p	DERRICO DORA	2013_ST2	TRIANGLE, ENS-IEP LYON & U. LYON 2
o	DESAGE FABIEN	2013_ST42	CERAPS, U. LILLE 2 / U. MONTREAL (CANADA)
p	DESAGE FABIEN	2017_ST18	CERAPS, U. LILLE 2
NA	DESAGE FABIEN	2019_ST09	NA
p	DESAGE FABIEN	2019_ST82	UNIVERSITE DE LILLE, CERAPS
p	DESCHAUX-BEAUME DELPHINE	2009_ST1	PACTE, IEP GRENOBLE
p	DESCHAUX-BEAUME DELPHINE	2009_ST21	PACTE, IEP GRENOBLE
p	DESCHAUX-BEAUME DELPHINE	2013_ST47	PACTE, IEP GRENOBLE
p	DESCHAUX-BEAUME DELPHINE	2017_ST69	CESICE, U. GRENOBLE ALPES
NA	DESCHAUX-DUTARD DELPHINE	2019_ST84	NA
p	DESCLOUX GILLES	2015_ST13	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE)
p	DESCOUTURES VIRGINIE	2015_ST7	CDSP, SCIENCES PO PARIS / CERLIS, U. PARIS 5
p	DESFONTAINES HELENE	2015_ST20	CENS, U. CATHOLIQUE OUEST
p	DESMERY KEREN	2019_ST83	EPHE
NA	DESROSIERS MARIE-EVE	2019_ST40	NA
p	DESRUMAUX CLEMENT	2009_ST37	CERAPS, U. LILLE 2
p	DESRUMAUX CLEMENT	2011_ST31	CERAPS, U. LILLE 2
p	DESRUMAUX CLEMENT	2011_ST32	CERAPS, U. LILLE 2
p	DESRUMAUX CLEMENT	2011_ST41	CERAPS, U. LILLE 2
o	DESRUMAUX CLEMENT	2013_ST38	CERAPS, U. LILLE 2
p	DESRUMAUX CLEMENT	2015_ST10	CURAPP-ESS, U. PICARDIE
d	DESRUMAUX CLEMENT	2017_ST42	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	DESTREMAU BLANDINE	2009_ST23	CNAM PARIS
p	DEVAUX CAMILLE	2013_ST9	LABURBA, U. PARIS 12 & U. PARIS EST MARNE LA VALLEE
NA	DEVAUX JEAN-BAPTISTE	2019_ST19	NA
NA	DEVAUX JEAN-BAPTISTE	2019_STGASAVOIRSDISCIPLINESPOUVOIRS	NA
p	DEVICTOR AGNES	2011_ST10	CULTURE COMMUNICATION, U. AVIGNON / CENTRE NORBERT ELIAS, EHESS PARIS
p	DEVILLE CLARA	2019_ST16	UPJV CURAPP ESS
p	DEVILLE MARION	2017_ST38	SOCIOLOGIE, U. GENEVE (SUISSE)
o	DEVIN GUILLAUME	2009_ST32	CERI, SCIENCES PO PARIS
o	DEVIN GUILLAUME	2011_ST2	CERI, SCIENCES PO PARIS
o	DEVIN GUILLAUME	2015_ST54	CERI, SCIENCES PO PARIS
p	DEVIN GUILLAUME	2017_ST73	CERI, SCIENCES PO PARIS
p	DEVINEAU JULIE	2009_ST25	CERI, SCIENCES PO PARIS
d	DEVINEAU JULIE	2011_ST38	CEMCA MEXICO (MEXIQUE)
p	DEVISSCHER CHRISTIAN	2009_ST3	AURAP, U. CATHOLIQUE LOUVAIN (BELGIQUE)
p	DEVISSCHER CHRISTIAN	2009_ST45	AURAP, U. CATHOLIQUE LOUVAIN (BELGIQUE)
p	DEVISSCHER CHRISTIAN	2015_ST41	U. CATHOLIQUE LOUVAIN (BELGIQUE)
p	DEYSINE ANNE	2015_STRC20IPSA	U. PARIS 10
p	DEZALAY SARA	2011_ST4	EUROPEAN U. INSTITUTE FLORENCE (ITALIE)
p	DEZALAY SARA	2013_ST43	MUNK SCHOOL GLOBAL AFFAIRS, U. TORONTO (CANADA)
p	DEZALAY SARA	2013_ST50	MUNK SCHOOL GLOBAL AFFAIRS, U. TORONTO (CANADA)
p	DEZALAY YVES	2013_ST52	CESSP-CSE, U. PARIS 1
p	DEZE ALEXANDRE	2009_ST7	SCIENCES PO PARIS
p	DEZE ALEXANDRE	2011_ST33	CEPEL, U. MONTPELLIER 1
o	DEZE ALEXANDRE	2013_ST27	CEPEL, U. MONTPELLIER 1
p	DI BONAVENTURA FLORENCE	2017_ST33	CRESPO
p	DIALLO ROZENN	2011_ST18	CEAN-LAM, IEP BORDEAUX
p	DIALLO ROZENN	2015_ST19	CEAN-LAM, IEP BORDEAUX
p	DIALLO ROZENN	2017_ST16	CEAN-LAM, IEP BORDEAUX
o	DIAMANTI ILVO	2015_ST6	U. URBINO (ITALIE)
p	DIAZ LIZE PAOLA	2019_ST50	CMS/EHESS
p	DIAZ PABLO	2011_ST49	U. LAUSANNE (SUISSE)
p	DIAZ PABLO	2015_ST54	ISS, U. LAUSANNE (SUISSE)
p	DIAZ PAOLA	2009_ST43	U. LILLE 2
p	DIAZ PAOLA	2011_ST32	CEMS, EHESS PARIS
p	DIAZ PAOLA	2015_ST52	CEMS, EHESS PARIS
p	DICKINSON NICHOLAS	2017_ST38	U. EXETER (ROYAUME-UNI)
d	DIDIER EMMANUEL	2011_ST45	IMM-GSPM, EHESS PARIS
p	DIDRY CLAUDE	2015_ST40	IDHE-IDHES, ENS CACHAN
p	DIECKHOFF MILENA	2015_STGRAM	CERI, SCIENCES PO PARIS
p	DIEHL PAULA	2013_ST64	HUMBOLDT U. BERLIN (ALLEMAGNE)
p	DIENG MODA	2013_ST48	U. MONTREAL (CANADA)
p	DIERICKX LAURENCE	2017_ST10	RESIC, U. LIBRE BRUXELLES (BELGIQUE)
p	DIEZ MEDRANO JUAN	2009_ST1	U. BARCELONA (ESPAGNE)
p	DIMITROV RADOSLAV	2017_ST72	WESTERN U. (CANADA)
p	DINI SABINE	2015_ST54	CERAL, U. PARIS 13
p	DINI SABINE	2015_ST55	CERAL, U. PARIS 13
p	DIRENBERGER LUCIA	2011_ST53	U. PARIS 7
p	DISCH LISA	2013_ST64	U. MICHIGAN (USA)
p	DITER KEVIN	2017_ST46	INSERM, U. PARIS 11
p	DIVAY SOPHIE	2013_ST4	CEREP, U. REIMS CHAMPAGNE ARDENNE
p	DJOULDEM MOHAMED	2011_ST20	U. MONTPELLIER 3
p	DOBBS MARY	2019_ST14	QUEENS UNIVERSITY BELFAST
p	DOBRY MICHEL	2009_ST50	CESSP-CRPS, U. PARIS 1
d	DOBRY MICHEL	2011_ST9	CESSP-CRPS, U. PARIS 1
o	DOBSON ANDREW	2013_ST62	CREATE, KEELE U. (ROYAUME-UNI)
o	DOGAN AYKIZ	2019_ST39	DOGAN INSTITUT DETUDE DU DEVELOPPEMENT ECONOMIQUE ET SOCIAL IEDES
p	DOGAN AYKIZ	2019_ST52	DOGAN UNIVERSITE PARIS 1 PANTHEON SORBONNE
o	DOLEZ BERNARD	2009_ST48	U. PARIS 13
o	DOLEZ BERNARD	2013_ST28	U. PARIS 1
p	DOLEZ CHARLOTTE	2011_ST35	CEE, SCIENCES PO PARIS
o	DOLEZ CHARLOTTE	2017_ST51	U. CATHOLIQUE LOUVAIN (BELGIQUE)
p	DOLEZ CHARLOTTE	2019_ST12	TRIANGLE, SCIENCES PO LYON
p	DOMPNIER NATHALIE	2009_ST42	TRIANGLE, ENS-IEP LYON & U. LYON 2
o	DOMPNIER NATHALIE	2011_ST39	TRIANGLE, ENS-IEP LYON & U. LYON 2
d	DOMPNIER NATHALIE	2015_ST7	TRIANGLE, ENS-IEP LYON & U. LYON 2
o	DONEGANI JEAN-MARIE	2013_ST64	SCIENCES PO PARIS
p	DONOSO SOFIA	2015_ST49	COES, U. DIEGO PORTALES (CHILI)
p	DONZEL ANDRE	2009_ST121	LAMES, U. AIX MARSEILLE 2
p	DORLIN ELSA	2013_ST33	U. PARIS 8
p	DORMAGEN JEAN-YVES	2009_ST13	CEPEL, U. MONTPELLIER 1
d	DORMAGEN JEAN-YVES	2009_ST34	CEPEL, U. MONTPELLIER 1
p	DORMAGEN JEAN-YVES	2009_ST5	CEPEL, U. MONTPELLIER 1
p	DORMAGEN JEAN-YVES	2011_ST35	CEPEL, U. MONTPELLIER 1
p	DORMAGEN JEAN-YVES	2013_ST29	U. CERGY PONTOISE / CEPEL, U. MONTPELLIER 1
p	DORMAGEN JEAN-YVES	2015_ST4	CEPEL, U. MONTPELLIER 1
p	DORMAGEN JEAN-YVES	2015_ST7	CEPEL, U. MONTPELLIER 1
p	DORMAGEN JEAN-YVES	2017_ST44	CEPEL, U. MONTPELLIER 1
p	DORMOIS REMI	2013_ST19	[DDT LOIRE] / EVS-RIVES, ENS-ENTPE-U. LYON 2 & 3
p	DORMOIS REMI	2017_ST9	EVS, U. LYON
p	DORMOY-RAJRAMANAN CHRISTELLE	2017_ST74	CRESPPA-CSU, U. PARIS 8
d	DORRONSORO GILLES	2009_ST47	U. PARIS 1
o	DORRONSORO GILLES	2013_ST25	CESSP-CRPS, U. PARIS 1
d	DORRONSORO GILLES	2013_ST53	CESSP-CRPS, U. PARIS 1
p	DORRONSORO GILLES	2015_ST53	U. PARIS 1
p	DOUBLET YVES-MARIE	2013_ST41	[ASSEMBLEE NATIONALE]
o	DOUILLET ANNE-CECILE	2009_ST122	U. BOURGOGNE FRANCHE COMTE / PACTE, IEP GRENOBLE
p	DOUILLET ANNE-CECILE	2011_ST12	U. BOURGOGNE FRANCHE COMTE / PACTE, IEP GRENOBLE
o	DOUILLET ANNE-CECILE	2015_ST23	CERAPS, U. LILLE 2
p	DOUILLET ANNE-CECILE	2017_ST20	CERAPS, U. LILLE 2
d	DOUILLET ANNE-CECILE	2017_ST22	CERAPS, U. LILLE 2
NA	DOUILLET ANNE-CECILE	2019_ST78	NA
NA	DOUILLET ANNE-CECILE	2019_STGAINSTITUTIONSACTIONPUBLIQUEETGOUVERNEMENT	NA
NA	DOUILLET ANNE-CECILE	2019_STGANORMESETJUSTICE	NA
p	DOUMENC SAPHIA	2019_ST33	TRIANGLE/LEST, UNIVERSITE LUMIERE LYON 2
p	DOUNIES THOMAS	2019_ST85	CURAPP ESS, UNIVERSITE DE PICARDIE JULES VERNE / CRESPPA CSU, PARIS 8 PARIS NANTERRE
p	DOUZOU MARION	2019_ST73	UNIVERSITE DE PARIS 1, CESSP
p	DOYON JEROME	2019_ST40	UNIVERSITY OF OXFORD
p	DRAGOS ALINA	2019_ST80	UNIVERSITY OF STRATHCLYDE, GLASGOW
p	DRAKE HELEN	2009_ST19	LOUGHBOROUGH U. (ROYAUME-UNI)
p	DRAKE HELEN	2013_ST56	LOUGHBOROUGH U. (ROYAUME-UNI)
p	DRAVIGNY JOSSELIN	2017_ST15	SPIRIT-CED, IEP-U. BORDEAUX
p	DRAVIGNY JOSSELIN	2019_ST44	SPIRIT-CED, IEP-U. BORDEAUX
p	DRESSEN MARNIX	2019_ST54	PRINTEMPS, U. VERSAILLES SAINT QUENTIN
p	DREYFUS FRANCOISE	2009_ST3	CESSP-CRPS, U. PARIS 1
p	DRI CLARISSA	2011_ST44	SPIRIT-CED, IEP-U. BORDEAUX
NA	DRUELLE-KORN CLOTILDE	2019_ST75	NA
p	DRUEZ ELODIE	2017_ST50	SCIENCES PO PARIS
p	DRUEZ ELODIE	2019_STGAINEGALITESETDISCRIMINATIONS	SCIENCES PO/CEE ET INED
p	DUBARRY THIBAUT	2017_ST57	IMAF, EHESS PARIS
p	DUBERTRAND BENJAMIN	2019_ST63	LISST CAS, UNIVERSITE TOULOUSE 1 MIRAIL
p	DUBIED ANNIK	2013_ST33	U. GENEVE (SUISSE)
p	DUBOIS ERIC	2009_ST4	CREM, U. RENNES 1
p	DUBOIS MATHIEU	2009_ST37	U. PARIS 4
p	DUBOIS PHILIPPE	2019_ST22	GRCP, U. LAVAL (CANADA)
d	DUBOIS VINCENT	2011_ST26	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	DUBOIS VINCENT	2015_ST18	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	DUBOIS VINCENT	2017_ST2	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	DUBOIS VINCENT	2017_ST37	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	DUBOIS VINCENT	2019_STGAINSTITUTIONSACTIONPUBLIQUEETGOUVERNEMENT	UNIVERSITE DE STRASBOURG, SAGE
p	DUBUISSON-QUELLIER SOPHIE	2013_ST7	CSO, SCIENCES PO PARIS
p	DUCANGE JEAN	2011_ST32	GRHIS, U. ROUEN
a	DUCANGE JEAN	2011_ST46	GRHIS, U. ROUEN
d	DUCHESNE SOPHIE	2013_ST6	NA
p	DUCHESNE SOPHIE	2017_ST33	ISSP, ENS CACHAN & U. PARIS 10 / SPIRIT-CED, IEP-U. BORDEAUX
d	DUCHESNE SOPHIE	2017_ST46	ISSP, ENS CACHAN & U. PARIS 10 / SPIRIT-CED, IEP-U. BORDEAUX
p	DUCLOS NATHALIE	2009_ST47	U. TOURS / ISSP, ENS CACHAN & U. PARIS 10
o	DUCLOS NATHALIE	2011_ST6	U. TOURS / ISSP, ENS CACHAN & U. PARIS 10
p	DUCLOS NATHALIE	2013_ST43	LERAP, U. TOURS / ISSP, ENS CACHAN & U. PARIS 10
p	DUCLOS NATHALIE	2013_ST54	LERAP, U. TOURS / ISSP, ENS CACHAN & U. PARIS 10
o	DUCLOS NATHALIE	2015_ST51	U. TOURS / ISSP, ENS CACHAN & U. PARIS 10
p	DUCLOS NATHALIE	2019_ST11	ISP, UNIVERSITE DE NANTERRE
p	DUCLOUX THIBAULT	2019_ST09	EHESS / CENTRE MAURICE HALBWACHS
p	DUCOL BENJAMIN	2011_ST10	U. LAVAL (CANADA)
o	DUCOL BENJAMIN	2019_ST42	CENTRE INTERNATIONAL CRIMINOLOGIE COMPAREE, U. MONTREAL (CANADA)
p	DUDOUET FRANCOIS-XAVIER	2013_ST52	U. PARIS 9
NA	DUDOUET FRANCOIS-XAVIER	2019_ST43	NA
NA	DUDOUET FRANCOIS-XAVIER	2019_ST75	NA
p	DUDOUET VERONIQUE	2011_ST6	BERGHOF CONFLICT RESEARCH BERLIN (ALLEMAGNE)
p	DUEZ DENIS	2009_ST1	U. SAINT LOUIS BRUXELLES (BELGIQUE)
o	DUEZ DENIS	2011_ST46	U. SAINT LOUIS BRUXELLES (BELGIQUE)
o	DUEZ DENIS	2019_ST44	INSTITUT DETUDES EUROPEENNES DE LUNIVERSITE SAINT LOUIS BRUXELLES
p	DUFOUR PASCALE	2009_ST37	CPDS, U. MONTREAL (CANADA)
p	DUFOURNET HELENE	2009_ST21	ISSP, ENS CACHAN & U. PARIS 10
p	DUFOURNET HELENE	2013_ST50	ISSP, ENS CACHAN & U. PARIS 10
p	DUFOURNET HELENE	2013_ST7	ISSP, ENS CACHAN & U. PARIS 10
NA	DUFRESNE YANNICK	2019_ST88	NA
NA	DUFRESNE-AUBERTIN LAURENCE	2019_ST16	NA
p	DUKALSKIS ALEXANDER	2019_ST40	UNIVERSITY COLLEGE DUBLIN
p	DULONG DE ROSNAY MELANIE	2013_ST45	ISCC PARIS / CERSA, U. PARIS 2
d	DULONG DELPHINE	2009_ST6	CESSP-CRPS, U. PARIS 1
p	DULONG DELPHINE	2011_ST13	CESSP-CRPS, U. PARIS 1
p	DULONG DELPHINE	2013_ST10	CESSP-CRPS, U. PARIS 1
d	DULONG DELPHINE	2013_ST38	CESSP-CRPS, U. PARIS 1
d	DULONG DELPHINE	2015_ST20	CESSP-CRPS, U. PARIS 1
o	DULONG DELPHINE	2015_ST27	CESSP-CRPS, U. PARIS 1
p	DUMARCHER AMELIE	2017_ST16	U. QUEBEC RIMOUSKI (CANADA)
o	DUMITRU SPERANTA	2011_ST21	U. PARIS 5
p	DUMITRU SPERANTA	2013_ST46	U. PARIS 5
p	DUMOULIN DAVID	2011_ST18	IHEAL, U. PARIS 3
o	DUMOULIN LAURENCE	2019_STGANORMESETJUSTICE	PACTE, IEP GRENOBLE
d	DUNEZAT XAVIER	2019_ST19	CRESPPA-GTM, U. PARIS 8
p	DUNEZAT XAVIER	2019_ST86	CRESPPA-GTM, U. PARIS 8 / URMIS
p	DUPOIRIER ELISABETH	2009_ST48	CEE, SCIENCES PO PARIS
p	DUPONT JULIETTE	2019_ST44	CHAIRE JEAN MONNET, U. MONTREAL (CANADA) / PACTE, IEP GRENOBLE
p	DUPUITS EMILIE	2015_ST56	SPERI-GSI, U. GENEVE (SUISSE)
p	DUPUY CAMILLE	2011_ST39	IDHE-IDHES, ENS CACHAN
p	DUPUY CLAIRE	2009_ST14	SCIENCES PO PARIS / U. MILANO BICOCCA (ITALIE) / IEP TOULOUSE
p	DUPUY CLAIRE	2011_ST12	CERIUM, U. MONTREAL (CANADA)
p	DUPUY CLAIRE	2011_ST19	CERIUM, U. MONTREAL (CANADA)
p	DUPUY CLAIRE	2011_ST45	CERIUM, U. MONTREAL (CANADA)
o	DUPUY CLAIRE	2013_ST6	ISPOLE, U. CATHOLIQUE LOUVAIN (BELGIQUE)
p	DUPUY CLAIRE	2015_STPOPACT	PACTE, IEP GRENOBLE
o	DUPUY CLAIRE	2019_ST45	PACTE, IEP GRENOBLE
p	DUPUY CLAIRE	2019_ST46	PACTE, IEP GRENOBLE
p	DUPUY CLAIRE	2019_ST88	PACTE, IEP GRENOBLE
NA	DUQUE JUAN FELIPE	2019_ST36	NA
p	DURAN MANUEL	2017_ST66	[ROYAL MUSEUM ARMED FORCES MILITARY HISTORY, BRUXELLES (BELGIQUE)] / RESEARCH GROUP INTERNATIONAL POLITICS, U. ANTWERPEN (BELGIQUE) / BLANQUERNA INSTITUTE, RAMON LLULL U. BARCELONA (ESPAGNE)
p	DURAND CEDRIC	2019_STSPOC	UNIVERSITE PARIS 13
p	DURAND MICKAEL	2015_ST16	CEE, SCIENCES PO PARIS
p	DURAND MICKAEL	2017_ST45	CEE, SCIENCES PO PARIS
o	DURAND MICKAEL	2019_ST21	CENTRE DETUDES EUROPEENNES ET DE POLITIQUE COMPAREE, SCIENCES PO
p	DURIN GUILLAUME	2009_ST52	CLESID, U. LYON 3
o	DUROVIC ANJA	2019_ST46	CEE/LIEPP, SCIENCES PO
p	DUSEIGNEUR GUILLAUME	2009_ST17	IEP LILLE
p	DUTOYA VIRGINIE	2011_ST53	CERI, SCIENCES PO PARIS
p	DUTOYA VIRGINIE	2013_ST25	CERI, SCIENCES PO PARIS / U. CERGY PONTOISE
p	DUTOYA VIRGINIE	2015_ST34	SPIRIT-CED, IEP-U. BORDEAUX
o	DUTOYA VIRGINIE	2015_STGREPO	SPIRIT-CED, IEP-U. BORDEAUX
p	DUTOYA VIRGINIE	2017_ST45	SPIRIT-CED, IEP-U. BORDEAUX
p	DUTOYA VIRGINIE	2019_ST10	CEIAS
p	DUVOUX NICOLAS	2017_ST59	CRESPPA-LABTOP, U. PARIS 8
